"Can Be Safely Deleted or Modified","Cannot Be Safely Deleted or Modified","WARNING","IMPACTED CUSTOMIZATIONS","Inactive Customizations (Already Deleted)"
"Log Deletion Attempts (Search)",,,,
"External Audit - SoD Incidents Under Investigation (Search)",,,,
"External Audit - Control Incidents Under Investigation (Search)",,,,
,"Auditor Assigned (Custom Record Field)","DEPENDENT SCRIPTS,NOT ARCHIVED","Strongpoint Process Issue - Audit (Workflow Action Script),Auditor Assigned (Custom Record Field)",
,"Auditor Assigned (Custom Record Field)","DEPENDENT SCRIPTS,NOT ARCHIVED","FLO Change Request - Audit (Workflow Action Script),Auditor Assigned (Custom Record Field)",
,"Auditor Assigned (Custom Record Field)","DEPENDENT SCRIPTS,RECENTLY USED,NOT ARCHIVED","Auditor Assigned (Custom Record Field),Internal Audit - Completed SoD Incident Reviews (Search),FLO Change Log - Audit (Workflow Action Script),Strongpoint Get Change request Sync Tool (Restlet Script),Internal Audit - Completed Control Incident Reviews (Search),Internal Audit - Completed ITGC Reviews (Search)",
,"Strongpoint Resolved Non-Compliant Changes - Audit (Search)","RECENTLY USED","Strongpoint Resolved Non-Compliant Changes - Audit (Search)",
,"Strongpoint Deployed Changes - Audit (Search)","RECENTLY USED","Strongpoint Deployed Changes - Audit (Search)",
,"Strongpoint Platform Changes - Audit (Search)","RECENTLY USED","Strongpoint Platform Changes - Audit (Search)",
,"Strongpoint Non-Material Changes - Audit (Search)","RECENTLY USED","Strongpoint Non-Material Changes - Audit (Search)",
,"Unresolved Control Incidents - audit (Search)","RECENTLY USED","Unresolved Control Incidents - audit (Search)",
,"Strongpoint Resolved Control Incidents - Audit (Search)","RECENTLY USED","Strongpoint Resolved Control Incidents - Audit (Search)",
,"Strongpoint Pre-Approved Control Incidents - Audit (Search)","RECENTLY USED","Strongpoint Pre-Approved Control Incidents - Audit (Search)",
,"Strongpoint Compliant Changes - Audit (Search)","RECENTLY USED","Strongpoint Compliant Changes - Audit (Search)",
,"Unresolved Non-Compliant Changes (Search)","RECENTLY USED","Unresolved Non-Compliant Changes (Search)",
,"Strongpoint Manage Bundle Update Changes - Audit (Search)","RECENTLY USED","Strongpoint Manage Bundle Update Changes - Audit (Search)",
,"Open Noncompliant Changes - Audit (Search)","RECENTLY USED","Open Noncompliant Changes - Audit (Search)",
,"Critical Changes To Be Reviewed - Audit (Search)","RECENTLY USED","Critical Changes To Be Reviewed - Audit (Search)",
,"Log Deletion Attempts (Unresolved) (Search)","RECENTLY USED","Log Deletion Attempts (Unresolved) (Search)",
,"Strongpoint Resolved SoD Incidents - Audit (Search)","RECENTLY USED","Strongpoint Resolved SoD Incidents - Audit (Search)",
,"Strongpoint Unresolved SoD Incidents - Audit (Search)","RECENTLY USED","Strongpoint Unresolved SoD Incidents - Audit (Search)",
,"Strongpoint Compliant SoD Incidents - Audit (Search)","RECENTLY USED","Strongpoint Compliant SoD Incidents - Audit (Search)",
,"Internal Audit - ITGC Under Investigation (Search)","RECENTLY USED","Internal Audit - ITGC Under Investigation (Search)",
,"Internal Audit - Control Incidents Under Investigation (Search)","RECENTLY USED","Internal Audit - Control Incidents Under Investigation (Search)",
,"Internal Audit - SoD Incidents Under Investigation (Search)","RECENTLY USED","Internal Audit - SoD Incidents Under Investigation (Search)",
,"External Audit - ITGC Under Investigation (Search)","RECENTLY USED","External Audit - ITGC Under Investigation (Search)",
